Species,Date,Pop,Location
Wild Turkey,2022-02,0,West Canyon 
Deer,2022-03,0,West Canyon 
Bobcat,2022-03,0,West Canyon 
Mountain Lion,2022-03,0,West Canyon 
Racoon,2022-03,0,West Canyon 
Badger,2022-03,0,West Canyon 
Squirrel,2022-03,28,West Canyon 
Coyote,2022-03,0,West Canyon 
Domstec Cattle,2022-03,0,West Canyon 
Skunk,2022-03,0,West Canyon 
cottontail,2022-03,0,West Canyon 
Jack Rabbit,2022-03,0,West Canyon 
Wild Turkey,2022-03,0,West Canyon 
Deer,2022-04,57,West Canyon 
Bobcat,2022-04,0,West Canyon 
Mountain Lion,2022-04,0,West Canyon 
Racoon,2022-04,0,West Canyon 
Badger,2022-04,0,West Canyon 
Squirrel,2022-04,25,West Canyon 
Coyote,2022-04,1,West Canyon 
Domstec Cattle,2022-04,0,West Canyon 
Skunk,2022-04,0,West Canyon 
cottontail,2022-04,0,West Canyon 
Jack Rabbit,2022-04,0,West Canyon 
Wild Turkey,2022-04,0,West Canyon 
Deer,2022-05,27,West Canyon 
Bobcat,2022-05,0,West Canyon 
Mountain Lion,2022-05,2,West Canyon 
Racoon,2022-05,0,West Canyon 
Badger,2022-05,1,West Canyon 
Squirrel,2022-05,8,West Canyon 
Coyote,2022-05,3,West Canyon 
Domstec Cattle,2022-05,0,West Canyon 
Skunk,2022-05,0,West Canyon 
cottontail,2022-05,0,West Canyon 
Jack Rabbit,2022-05,0,West Canyon 
Wild Turkey,2022-05,1,West Canyon 
Deer,2022-06,35,West Canyon 
Bobcat,2022-06,0,West Canyon 
Mountain Lion,2022-06,0,West Canyon 
Racoon,2022-06,0,West Canyon 
Badger,2022-06,0,West Canyon 
Squirrel,2022-06,7,West Canyon 
Coyote,2022-06,1,West Canyon 
Domstec Cattle,2022-06,15,West Canyon 
Skunk,2022-06,0,West Canyon 
cottontail,2022-06,0,West Canyon 
Jack Rabbit,2022-06,0,West Canyon 
Wild Turkey,2022-06,0,West Canyon 
Deer,2022-07,53,West Canyon 
Bobcat,2022-07,0,West Canyon 
Mountain Lion,2022-07,0,West Canyon 
Racoon,2022-07,7,West Canyon 
Badger,2022-07,1,West Canyon 
Squirrel,2022-07,6,West Canyon 
Coyote,2022-07,3,West Canyon 
Domstec Cattle,2022-07,179,West Canyon 
Skunk,2022-07,0,West Canyon 
cottontail,2022-07,0,West Canyon 
Jack Rabbit,2022-07,0,West Canyon 
Wild Turkey,2022-07,0,West Canyon 
Deer,2022-08,3,West Canyon 
Bobcat,2022-08,0,West Canyon 
Mountain Lion,2022-08,0,West Canyon 
Racoon,2022-08,0,West Canyon 
Badger,2022-08,0,West Canyon 
Squirrel,2022-08,2,West Canyon 
Coyote,2022-08,3,West Canyon 
Domstec Cattle,2022-08,0,West Canyon 
Skunk,2022-08,0,West Canyon 
cottontail,2022-08,0,West Canyon 
Jack Rabbit,2022-08,0,West Canyon 
Wild Turkey,2022-08,0,West Canyon 
